"Zaman damgası","What is your gender? ","What is your department? ","What year are you in school? ","What are your favorite music types? (Select up to 3)","What types of places do you prefer for spending your leisure time?  (Select up to 2)","How often do you listen to music? ","How often do you discuss or debate music with friends? ","Do you feel comfortable sharing your music preferences with others? ","Do you feel the music you listen to reflects who you are? ","Do you think discussing or debating songs helps you socialize? ","How social do you consider yourself? ","Do you prefer listening to music while studying? ","How often do you attend concerts or live music events? ","How important are lyrics to you when listening to music? ","Has there been a turning point in your life that changed your music listening frequency or genre preference? "
"2024/12/08 8:02:46 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Pop;Rock;Metal","Home/Dormitory;Cafes","5","2","5","3","1","3","3","2","4","During a period of my life where I felt alone my preferences turned from pop to rap"
"2024/12/11 1:28:14 ÖS GMT+3","Male","Faculty of Arts and Sciences","3rd year","Rock;Rap;Electronic","Cafes;Sport/Walking Around","5","3","4","4","4","5","5","4","4","No"
"2024/12/11 1:36:13 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Rock;Metal","Home/Dormitory;Parks/Nature","5","3","5","4","5","2","1","2","3","No"
"2024/12/11 1:46:16 ÖS GMT+3","Male","Faculty of Engineering","3rd year","Pop;Rock;Rap","Library;Sport/Walking Around","3","1","3","4","2","4","1","1","2","No"
"2024/12/11 1:51:12 ÖS GMT+3","Male","Faculty of Arts and Sciences","3rd year","Classical;Metal;Soundtrack","Home/Dormitory;Cafes","4","3","2","5","1","3","1","1","1","Yks sınav senem"
"2024/12/11 1:58:32 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Electronic;Classical;Soundtrack","Home/Dormitory;My department studyroom","5","2","5","5","5","5","5","1","3","When I started playing classical music myself"
"2024/12/11 2:17:36 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Pop;Rock;Classical","Home/Dormitory;Sport/Walking Around","5","3","4","5","2","3","4","2","5","İlk kez milyonfest e gidene kadar sadece yabancı dinliyordum. Ondan sonra daha ağırlıklı olarak Türkçe dinlemeye başladım"
"2024/12/11 2:24:47 ÖS GMT+3","Other","Faculty of Arts and Sciences","4th year","Rock;Rap;Electronic;Classical;Jazz","Home/Dormitory;Cafes;Beaches/Coastal Areas;Sport/Walking Around","4","2","3","3","4","4","5","3","4","More than one turning points"
"2024/12/11 2:45:32 ÖS GMT+3","Male","Faculty of Engineering","4th year","Classical;Jazz","Home/Dormitory;Parks/Nature;Student Club Buildings","5","5","5","2","2","3","3","4","1","Enstrüman çalmayı öğrenmek müziğe bakış açımı değiştirdi."
"2024/12/11 2:46:38 ÖS GMT+3","Female","Faculty of Economic and Administrative Sciences","4th year","Rock;Metal","Parks/Nature;Sport/Walking Around","4","4","4","4","3","5","3","5","3","No"
"2024/12/11 2:47:03 ÖS GMT+3","Male","Faculty of Arts and Sciences","5th year or more","Rock;Rap;Jazz","Home/Dormitory","4","1","5","2","1","2","1","2","3","No"
"2024/12/11 2:47:31 ÖS GMT+3","Female","Faculty of Arts and Sciences","3rd year","Pop;Rock;Electronic","Home/Dormitory;Student Club Buildings","4","3","4","5","4","3","3","2","3","No"
"2024/12/11 2:49:10 ÖS GMT+3","Male","Faculty of Arts and Sciences","4th year","Classical","Home/Dormitory;Balkan ","4","2","3","5","3","3","3","2","4","No"
"2024/12/11 2:49:23 ÖS GMT+3","Female","Faculty of Engineering","4th year","Pop","Home/Dormitory;Library","4","2","5","5","5","4","4","2","5","No"
"2024/12/11 2:49:39 ÖS GMT+3","Male","Faculty of Engineering","2nd year","Country;Arabesque","Cafes;Library","4","5","5","5","4","2","4","4","5","No"
"2024/12/11 2:50:40 ÖS GMT+3","Female","Faculty of Engineering","2nd year","Pop;Rock;Classical","Home/Dormitory;Library","4","3","4","4","4","3","3","3","1","No"
"2024/12/11 2:51:33 ÖS GMT+3","Male","Faculty of Arts and Sciences","2nd year","Rock","Home/Dormitory;Sport/Walking Around","3","1","3","4","5","3","2","2","4","Listen to positive music effects my life positively."
"2024/12/11 2:51:37 ÖS GMT+3","Female","Faculty of Arts and Sciences","2nd year","Pop;Rock;R&B","Library;Sport/Walking Around","4","2","5","5","3","4","1","2","4","Breakup"
"2024/12/11 2:51:38 ÖS GMT+3","Female","Faculty of Engineering","1st year","Pop;Rock;R&B","Home/Dormitory;Sport/Walking Around","3","2","5","5","4","3","2","2","3","Depression"
